id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01K9TFNQNV8B1VJ6MKQCZRGR29,,,01K9TFNQNAP48FY832SYY72D12,2025-11-11T22:13:09.435631837Z,,,false,2025-11-11T22:13:09.435631837Z,batch ended,2025-11-11T22:22:16.476295523Z,01K9TFNQPRD45ZPKJBMKPYP99P,2025-11-11T22:13:09.467380253Z,,,,,,,false,2025-11-11T22:13:09.435631837Z,,,terminated,2025-11-11T22:22:16.476295523Z,"{""hasChat"":false,""numRounds"":13,""playerCount"":2}",2025-11-11T22:13:09.435631837Z,baseline,2025-11-11T22:13:09.435631837Z
01K9TFNQNYDZ07YSQQFBEZQ78E,,,01K9TFNQNAP48FY832SYY72D12,2025-11-11T22:13:09.438833075Z,,,false,2025-11-11T22:13:09.438833075Z,shared lobby timeout,2025-11-11T22:20:43.697345564Z,01K9TFNQRGB2WCSKRBWNQDJP0H,2025-11-11T22:13:09.523979536Z,01K9TFTEA9865XY30608Y65GWT,2025-11-11T22:15:43.694728837Z,,,,,false,2025-11-11T22:13:09.438833075Z,,,failed,2025-11-11T22:20:43.697345564Z,"{""hasChat"":false,""numRounds"":13,""playerCount"":2}",2025-11-11T22:13:09.438833075Z,baseline,2025-11-11T22:13:09.438833075Z
01K9THEXF5K25GF7E1BF0H3VE3,2,2025-11-11T23:13:46.230851915Z,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T22:44:23.14138214Z,,,true,2025-11-11T23:20:48.463807836Z,end of game,2025-11-11T23:20:48.47637102Z,01K9THEXFQKMS09405D6HPBMDP,2025-11-11T22:44:23.161213723Z,01K9TK2GFGK9NJ0G3E18NFVWNA,2025-11-11T23:12:33.782429992Z,12,2025-11-11T23:13:46.272049595Z,null,2025-11-11T23:20:48.463807836Z,true,2025-11-11T23:13:46.230851915Z,true,2025-11-11T23:13:46.230851915Z,ended,2025-11-11T23:20:48.47637102Z,"{""hasChat"":false,""numRounds"":13,""playerCount"":2}",2025-11-11T22:44:23.14138214Z,baseline,2025-11-11T22:44:23.14138214Z
01K9THEYE50JM3W6VM39935R0Q,,,01K9THEYDPZR9VJ78GCSACY0S0,2025-11-11T22:44:24.133976882Z,,,false,2025-11-11T22:44:24.133976882Z,shared lobby timeout,2025-11-11T23:18:21.514691254Z,01K9THEYER3QAE43G9TAY8HPPX,2025-11-11T22:44:24.155747478Z,01K9TK3Z34BTRGW5WMTCNJJV0T,2025-11-11T23:13:21.513624177Z,,,,,false,2025-11-11T22:44:24.133976882Z,,,failed,2025-11-11T23:18:21.514691254Z,"{""hasChat"":false,""numRounds"":13,""playerCount"":2}",2025-11-11T22:44:24.133976882Z,baseline,2025-11-11T22:44:24.133976882Z
01K9TH27GRFPHR312E15TN9GD2,,,01K9TH27G7F3SSDWAJRVH52AN5,2025-11-11T22:37:27.448844548Z,,,false,2025-11-11T22:37:27.448844548Z,shared lobby timeout,2025-11-11T22:43:06.117052978Z,01K9TH27HDPCJFCKHHB1ZJ4J2X,2025-11-11T22:37:27.474281786Z,01K9TH3D8W49PY9HM893B3F81E,2025-11-11T22:38:06.114503117Z,,,,,false,2025-11-11T22:37:27.448844548Z,,,failed,2025-11-11T22:43:06.117052978Z,"{""hasChat"":false,""numRounds"":13,""playerCount"":2}",2025-11-11T22:37:27.448844548Z,baseline,2025-11-11T22:37:27.448844548Z
01K9TKHWQ56744C1WB3KR2S98C,2,2025-11-11T23:25:03.978524924Z,01K9TKHWPQ1CHEHQDB7EFMGZ28,2025-11-11T23:20:57.829042185Z,,,true,2025-11-11T23:26:06.592044376Z,end of game,2025-11-11T23:26:06.601009835Z,01K9TKHWQTS3ZVTPSM3K2NH9Y5,2025-11-11T23:20:57.852368487Z,01K9TKK66GWBJGPNVE8CPGAQR3,2025-11-11T23:21:40.308186279Z,12,2025-11-11T23:25:04.02133139Z,null,2025-11-11T23:26:06.592044376Z,true,2025-11-11T23:25:03.978524924Z,true,2025-11-11T23:25:03.978524924Z,ended,2025-11-11T23:26:06.601009835Z,"{""hasChat"":false,""numRounds"":13,""playerCount"":2}",2025-11-11T23:20:57.829042185Z,baseline,2025-11-11T23:20:57.829042185Z
01K9TE9T75JFGS09NGQYAMHPA6,2,2025-11-11T22:09:01.228988532Z,01K9TE9T6GRQ5KWPW9N4YQG3VB,2025-11-11T21:49:10.245528209Z,,,true,2025-11-11T22:10:49.603744581Z,end of game,2025-11-11T22:10:49.65027444Z,01K9TE9T80D5P387C3KEDQ0A06,2025-11-11T21:49:10.276862551Z,01K9TF7MR70YX900WP9AFHHVXF,2025-11-11T22:05:27.694028169Z,12,2025-11-11T22:09:01.27306547Z,null,2025-11-11T22:10:49.603744581Z,true,2025-11-11T22:09:01.228988532Z,true,2025-11-11T22:09:01.228988532Z,ended,2025-11-11T22:10:49.65027444Z,"{""hasChat"":false,""numRounds"":13,""playerCount"":2}",2025-11-11T21:49:10.245528209Z,baseline,2025-11-11T21:49:10.245528209Z
01K9TFNQNV8B1VJ6MKPX485CVD,,,01K9TFNQNAP48FY832SYY72D12,2025-11-11T22:13:09.43527152Z,,,false,2025-11-11T22:13:09.43527152Z,batch ended,2025-11-11T22:22:16.476295523Z,01K9TFNQQBGHNNK9BRZGB2P2K4,2025-11-11T22:13:09.485543131Z,,,,,,,false,2025-11-11T22:13:09.43527152Z,,,terminated,2025-11-11T22:22:16.476295523Z,"{""hasChat"":false,""numRounds"":13,""playerCount"":2}",2025-11-11T22:13:09.43527152Z,baseline,2025-11-11T22:13:09.43527152Z
01K9TFNQNW7AY05KP5X16QJ36H,,,01K9TFNQNAP48FY832SYY72D12,2025-11-11T22:13:09.436651714Z,,,false,2025-11-11T22:13:09.436651714Z,batch ended,2025-11-11T22:22:16.476295523Z,01K9TFNQQXB5YYXRPR0QVNHJRQ,2025-11-11T22:13:09.503052956Z,,,,,,,false,2025-11-11T22:13:09.436651714Z,,,terminated,2025-11-11T22:22:16.476295523Z,"{""hasChat"":false,""numRounds"":13,""playerCount"":2}",2025-11-11T22:13:09.436651714Z,baseline,2025-11-11T22:13:09.436651714Z
01K9TG6EXX8QH6HVK7KKMCEBA2,2,2025-11-11T22:26:33.739721105Z,01K9TG6EXGBQ4G6XZ3R8J93D2N,2025-11-11T22:22:17.533279242Z,,,true,2025-11-11T22:31:34.238305249Z,end of game,2025-11-11T22:31:34.253365127Z,01K9TG6EYJG1XCTN3XY370EFFV,2025-11-11T22:22:17.556696221Z,01K9TG8D5W66QX6PVCM5JDPQFH,2025-11-11T22:23:21.281041598Z,12,2025-11-11T22:26:33.781460461Z,null,2025-11-11T22:31:34.238305249Z,true,2025-11-11T22:26:33.739721105Z,true,2025-11-11T22:26:33.739721105Z,ended,2025-11-11T22:31:34.253365127Z,"{""hasChat"":false,""numRounds"":13,""playerCount"":2}",2025-11-11T22:22:17.533279242Z,baseline,2025-11-11T22:22:17.533279242Z
