id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01K9TFF0C6T52BNGW9T50NRSFV,01K9TE9T6GRQ5KWPW9N4YQG3VB,2025-11-11T22:09:28.966338665Z,B,2025-11-11T22:09:40.93385479Z,01K9TE9T75JFGS09NGQYAMHPA6,2025-11-11T22:09:28.966338665Z,01K9TFD8YPZ9SMW3BFYATD0C3Y,2025-11-11T22:09:28.966338665Z,01K9TFE5APXVX1ZA58BHC2M9N4,2025-11-11T22:09:28.966338665Z,20,2025-11-11T22:09:40.946351135Z
01K9TGZ5RZZTB0N9PSG4H1EN0C,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:35:47.359175082Z,C,2025-11-11T22:35:49.06643547Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:35:47.359175082Z,01K9TGGPCVJQM3MBG61HJ65C1A,2025-11-11T22:35:47.359175082Z,01K9TGMA4X601EMW9647JQ41X6,2025-11-11T22:35:47.359175082Z,8,2025-11-11T22:35:49.073952251Z
01K9TKG63AFFSYR84HQY3Y979F,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T23:20:01.898642322Z,C,2025-11-11T23:20:02.96839984Z,01K9THEXF5K25GF7E1BF0H3VE3,2025-11-11T23:20:01.898642322Z,01K9TK4NDHZWVR3YP5F8QC9TTB,2025-11-11T23:20:01.898642322Z,01K9TK4Q9A3QVYJRYMH72BQ6JG,2025-11-11T23:20:01.898642322Z,18,2025-11-11T23:20:12.365861128Z
01K9TGPFFK2CQZ21V2P0KTME4T,01K9TG6EXGBQ4G6XZ3R8J93D2N,2025-11-11T22:31:02.387366664Z,C,2025-11-11T22:31:04.537265074Z,01K9TG6EXX8QH6HVK7KKMCEBA2,2025-11-11T22:31:02.387366664Z,01K9TGBZBBN2VNM7XM1NFZDYSF,2025-11-11T22:31:02.387366664Z,01K9TGE95PTGDR7QAVZDS4EY5Z,2025-11-11T22:31:02.387366664Z,8,2025-11-11T22:31:04.545654406Z
01K9TGZ0RCG8GQDRQPBCDZXE4T,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:35:42.220335892Z,D,2025-11-11T22:35:43.547120767Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:35:42.220335892Z,01K9TGGKH3RZNNHKBW34D0VAVW,2025-11-11T22:35:42.220335892Z,01K9TGMA4YRTX1CB3XW5PQC1GB,2025-11-11T22:35:42.220335892Z,1,2025-11-11T22:35:45.510937123Z
01K9TK9WQ4QDPG0PAM0CE1YX3D,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T23:16:35.685141547Z,D,2025-11-11T23:17:27.85790905Z,01K9THEXF5K25GF7E1BF0H3VE3,2025-11-11T23:16:35.685141547Z,01K9TK0BPW384MW0TTYHAFJAGS,2025-11-11T23:16:35.685141547Z,01K9TK4Q8VYH1J4FFGCP3S064V,2025-11-11T23:16:35.685141547Z,41,2025-11-11T23:17:27.871230711Z
01K9TKEEV1THP1C3Y8HMNG88CM,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T23:19:05.313654352Z,D,2025-11-11T23:19:12.600594157Z,01K9THEXF5K25GF7E1BF0H3VE3,2025-11-11T23:19:05.313654352Z,01K9TK0BPW384MW0TTYHAFJAGS,2025-11-11T23:19:05.313654352Z,01K9TK4Q9B42RC6PM2BPCADA6C,2025-11-11T23:19:05.313654352Z,41,2025-11-11T23:19:12.614073301Z
01K9TKSE3EB0S46SC9GPN24NP1,01K9TKHWPQ1CHEHQDB7EFMGZ28,2025-11-11T23:25:05.006809577Z,C,2025-11-11T23:25:08.322598663Z,01K9TKHWQ56744C1WB3KR2S98C,2025-11-11T23:25:05.006809577Z,01K9TKK4NBAYWV8NPZGBH70SCA,2025-11-11T23:25:05.006809577Z,01K9TKSD4DTPTKV3T447J8DQ4T,2025-11-11T23:25:05.006809577Z,48,2025-11-11T23:25:27.076233859Z
01K9TKTY2DYNJ1AWVDTZT8WKSW,01K9TKHWPQ1CHEHQDB7EFMGZ28,2025-11-11T23:25:54.125851313Z,C,2025-11-11T23:25:54.895022251Z,01K9TKHWQ56744C1WB3KR2S98C,2025-11-11T23:25:54.125851313Z,01K9TKQNK6BGH083BS225HDXX4,2025-11-11T23:25:54.125851313Z,01K9TKSD4R0JQWFFN7WQ57XYYY,2025-11-11T23:25:54.125851313Z,8,2025-11-11T23:25:54.904760001Z
01K9TFGH6793TD5PYPSR3C9RSR,01K9TE9T6GRQ5KWPW9N4YQG3VB,2025-11-11T22:10:18.951520455Z,C,2025-11-11T22:10:20.046422441Z,01K9TE9T75JFGS09NGQYAMHPA6,2025-11-11T22:10:18.951520455Z,01K9TF6B432JB2S4GXCA1X1A8D,2025-11-11T22:10:18.951520455Z,01K9TFE5AW4GN01A5ZJMB7A31A,2025-11-11T22:10:18.951520455Z,8,2025-11-11T22:10:23.273120055Z
01K9TFH28SQTEHXHBG6JW71QZV,01K9TE9T6GRQ5KWPW9N4YQG3VB,2025-11-11T22:10:36.441146905Z,D,2025-11-11T22:10:37.528105812Z,01K9TE9T75JFGS09NGQYAMHPA6,2025-11-11T22:10:36.441146905Z,01K9TF6B432JB2S4GXCA1X1A8D,2025-11-11T22:10:36.441146905Z,01K9TFE5AT6K45GQK4SCHXAB74,2025-11-11T22:10:36.441146905Z,1,2025-11-11T22:10:37.980068985Z
01K9TK4QSKW5ZG65084M6XD0BF,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T23:13:46.803590722Z,D,2025-11-11T23:15:11.407368875Z,01K9THEXF5K25GF7E1BF0H3VE3,2025-11-11T23:13:46.803590722Z,01K9TK0BPW384MW0TTYHAFJAGS,2025-11-11T23:13:46.803590722Z,01K9TK4Q8R0KKXRE0RG0XBVAZ3,2025-11-11T23:13:46.803590722Z,1,2025-11-11T23:15:11.419653459Z
01K9TGMGS1JVAJPTADY0D5W10S,01K9TG6EXGBQ4G6XZ3R8J93D2N,2025-11-11T22:29:58.177400057Z,C,2025-11-11T22:29:59.360966975Z,01K9TG6EXX8QH6HVK7KKMCEBA2,2025-11-11T22:29:58.177400057Z,01K9TG7YYY4ZBCWC5KXYY0TVH7,2025-11-11T22:29:58.177400057Z,01K9TGE95FS1V1B4EYHAQRBGA6,2025-11-11T22:29:58.177400057Z,48,2025-11-11T22:30:04.210386915Z
01K9TGMSQYPS2MQ94TB6NECRTC,01K9TG6EXGBQ4G6XZ3R8J93D2N,2025-11-11T22:30:07.358771033Z,D,2025-11-11T22:30:08.592460794Z,01K9TG6EXX8QH6HVK7KKMCEBA2,2025-11-11T22:30:07.358771033Z,01K9TG7YYY4ZBCWC5KXYY0TVH7,2025-11-11T22:30:07.358771033Z,01K9TGE95GCTZ256T5MN7QQ314,2025-11-11T22:30:07.358771033Z,41,2025-11-11T22:30:11.709481413Z
01K9TGZK5X493NB6W6HJQSA22M,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:36:01.085857162Z,D,2025-11-11T22:36:02.132422342Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:36:01.085857162Z,01K9TGGKH3RZNNHKBW34D0VAVW,2025-11-11T22:36:01.085857162Z,01K9TGMA4TG6Z70H84KFN62YMP,2025-11-11T22:36:01.085857162Z,1,2025-11-11T22:36:03.323604086Z
