id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01K9TK4Q9B42RC6PM2C4MZ9374,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T23:13:46.283824949Z,true,2025-11-11T23:19:05.291737255Z,01K9THEXF5K25GF7E1BF0H3VE3,2025-11-11T23:13:46.283824949Z,5,2025-11-11T23:13:46.283824949Z,Round 5,2025-11-11T23:13:46.283824949Z,2,2025-11-11T23:13:46.388321723Z,true,2025-11-11T23:18:38.278297391Z
01K9TFE5AXCV451BQCYG9CNGS5,01K9TE9T6GRQ5KWPW9N4YQG3VB,2025-11-11T22:09:01.277119795Z,true,2025-11-11T22:10:18.934573597Z,01K9TE9T75JFGS09NGQYAMHPA6,2025-11-11T22:09:01.277119795Z,5,2025-11-11T22:09:01.277119795Z,Round 5,2025-11-11T22:09:01.277119795Z,2,2025-11-11T22:09:01.390276589Z,true,2025-11-11T22:10:13.718115612Z
01K9TFE5AXCV451BQCZJ4JH1GC,01K9TE9T6GRQ5KWPW9N4YQG3VB,2025-11-11T22:09:01.277761764Z,true,2025-11-11T22:10:13.702322289Z,01K9TE9T75JFGS09NGQYAMHPA6,2025-11-11T22:09:01.277761764Z,4,2025-11-11T22:09:01.277761764Z,Round 4,2025-11-11T22:09:01.277761764Z,2,2025-11-11T22:09:01.377726406Z,true,2025-11-11T22:10:05.245451085Z
01K9TGE95E94ZEKZD23TRVWN2T,01K9TG6EXGBQ4G6XZ3R8J93D2N,2025-11-11T22:26:33.774757921Z,true,2025-11-11T22:31:29.406503977Z,01K9TG6EXX8QH6HVK7KKMCEBA2,2025-11-11T22:26:33.774757921Z,11,2025-11-11T22:26:33.774757921Z,Round 11,2025-11-11T22:26:33.774757921Z,2,2025-11-11T22:26:34.028107051Z,true,2025-11-11T22:31:07.43021001Z
01K9TGE95KNP2XPZSGVBCDS945,01K9TG6EXGBQ4G6XZ3R8J93D2N,2025-11-11T22:26:33.779690868Z,true,2025-11-11T22:31:34.229272469Z,01K9TG6EXX8QH6HVK7KKMCEBA2,2025-11-11T22:26:33.779690868Z,12,2025-11-11T22:26:33.779690868Z,Round 12,2025-11-11T22:26:33.779690868Z,2,2025-11-11T22:26:34.039860799Z,true,2025-11-11T22:31:29.420094296Z
01K9TKSD4MPZHVQ4TYTPSGSEPW,01K9TKHWPQ1CHEHQDB7EFMGZ28,2025-11-11T23:25:04.020739323Z,true,2025-11-11T23:25:40.789766455Z,01K9TKHWQ56744C1WB3KR2S98C,2025-11-11T23:25:04.020739323Z,2,2025-11-11T23:25:04.020739323Z,Round 2,2025-11-11T23:25:04.020739323Z,2,2025-11-11T23:25:04.100588614Z,true,2025-11-11T23:25:36.962630994Z
01K9TGMA4Z9MQARMEXBRY5H970,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:29:51.391731532Z,true,2025-11-11T22:35:03.993878715Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:29:51.391731532Z,5,2025-11-11T22:29:51.391731532Z,Round 5,2025-11-11T22:29:51.391731532Z,2,2025-11-11T22:29:51.522327043Z,true,2025-11-11T22:34:47.021549961Z
01K9TK4Q9A3QVYJRYMHNV4BNTY,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T23:13:46.28276211Z,true,2025-11-11T23:19:49.685906955Z,01K9THEXF5K25GF7E1BF0H3VE3,2025-11-11T23:13:46.28276211Z,7,2025-11-11T23:13:46.28276211Z,Round 7,2025-11-11T23:13:46.28276211Z,2,2025-11-11T23:13:46.417023052Z,true,2025-11-11T23:19:29.017653796Z
01K9TKSD4HFVA9PSW86GZ086VZ,01K9TKHWPQ1CHEHQDB7EFMGZ28,2025-11-11T23:25:04.017904742Z,true,2025-11-11T23:26:04.592828616Z,01K9TKHWQ56744C1WB3KR2S98C,2025-11-11T23:25:04.017904742Z,11,2025-11-11T23:25:04.017904742Z,Round 11,2025-11-11T23:25:04.017904742Z,2,2025-11-11T23:25:04.281632878Z,true,2025-11-11T23:26:02.87973236Z
01K9TKSD4K21VP11X04TQB77K1,01K9TKHWPQ1CHEHQDB7EFMGZ28,2025-11-11T23:25:04.0195148Z,true,2025-11-11T23:25:50.722668984Z,01K9TKHWQ56744C1WB3KR2S98C,2025-11-11T23:25:04.0195148Z,4,2025-11-11T23:25:04.0195148Z,Round 4,2025-11-11T23:25:04.0195148Z,2,2025-11-11T23:25:04.137229396Z,true,2025-11-11T23:25:48.027944222Z
01K9TGMA4X601EMW9647JQ41X6,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:29:51.389262529Z,true,2025-11-11T22:35:51.306254204Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:29:51.389262529Z,8,2025-11-11T22:29:51.389262529Z,Round 8,2025-11-11T22:29:51.389262529Z,2,2025-11-11T22:29:51.568304263Z,true,2025-11-11T22:35:47.352856928Z
01K9TGMA4KBJ6YJHJ5A7VXMH0J,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:29:51.379728059Z,true,2025-11-11T22:33:18.602303107Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:29:51.379728059Z,0,2025-11-11T22:29:51.379728059Z,Round 0,2025-11-11T22:29:51.379728059Z,2,2025-11-11T22:29:51.423174899Z,true,2025-11-11T22:29:51.815958114Z
01K9TK4Q99N9EHWWPQ7PMC3Y1R,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T23:13:46.28162421Z,true,2025-11-11T23:20:27.064289725Z,01K9THEXF5K25GF7E1BF0H3VE3,2025-11-11T23:13:46.28162421Z,10,2025-11-11T23:13:46.28162421Z,Round 10,2025-11-11T23:13:46.28162421Z,2,2025-11-11T23:13:46.484419026Z,true,2025-11-11T23:20:19.113197488Z
01K9TKSD4Q838QWDGNNDP2D7W3,01K9TKHWPQ1CHEHQDB7EFMGZ28,2025-11-11T23:25:04.023647957Z,true,2025-11-11T23:25:59.474393902Z,01K9TKHWQ56744C1WB3KR2S98C,2025-11-11T23:25:04.023647957Z,8,2025-11-11T23:25:04.023647957Z,Round 8,2025-11-11T23:25:04.023647957Z,2,2025-11-11T23:25:04.23511601Z,true,2025-11-11T23:25:57.835803314Z
01K9TGE95CE02K3TBKMJ95ZGJ2,01K9TG6EXGBQ4G6XZ3R8J93D2N,2025-11-11T22:26:33.772163431Z,true,2025-11-11T22:29:07.314321681Z,01K9TG6EXX8QH6HVK7KKMCEBA2,2025-11-11T22:26:33.772163431Z,1,2025-11-11T22:26:33.772163431Z,Round 1,2025-11-11T22:26:33.772163431Z,2,2025-11-11T22:26:33.827415023Z,true,2025-11-11T22:28:55.91436919Z
01K9TK4Q9A3QVYJRYMH72BQ6JG,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T23:13:46.282246576Z,true,2025-11-11T23:20:19.09799633Z,01K9THEXF5K25GF7E1BF0H3VE3,2025-11-11T23:13:46.282246576Z,9,2025-11-11T23:13:46.282246576Z,Round 9,2025-11-11T23:13:46.282246576Z,2,2025-11-11T23:13:46.451329025Z,true,2025-11-11T23:20:01.890795761Z
