id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01K9TGMA5QTSF6G7EGETYAHE87,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:29:51.415768208Z,10000,2025-11-11T22:29:51.415768208Z,true,2025-11-11T22:33:18.592432212Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:29:51.415768208Z,1,2025-11-11T22:29:51.415768208Z,true,2025-11-11T22:33:10.811909198Z,result,2025-11-11T22:29:51.415768208Z,01K9TGMA4KBJ6YJHJ5A7VXMH0J,2025-11-11T22:29:51.415768208Z,true,2025-11-11T22:33:10.79961257Z,true,2025-11-11T22:33:10.828876377Z,01K9TGMA5MR5NJVB26A8YW8SZX,2025-11-11T22:29:51.415768208Z
01K9TGMABDNVKFY5PC011F32D9,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:29:51.597332583Z,10000,2025-11-11T22:29:51.597332583Z,true,2025-11-11T22:35:59.34393948Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:29:51.597332583Z,0,2025-11-11T22:29:51.597332583Z,true,2025-11-11T22:35:57.264130164Z,choice,2025-11-11T22:29:51.597332583Z,01K9TGMA4TG6Z70H84KV7ER18B,2025-11-11T22:29:51.597332583Z,true,2025-11-11T22:35:57.246845448Z,true,2025-11-11T22:35:57.277381762Z,01K9TGMAB9RXNY9950TY1BQA51,2025-11-11T22:29:51.597332583Z
01K9TK4QB1ZR6WQ0RXTA7P3F98,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T23:13:46.33722268Z,10000,2025-11-11T23:13:46.33722268Z,true,2025-11-11T23:17:49.049532034Z,01K9THEXF5K25GF7E1BF0H3VE3,2025-11-11T23:13:46.33722268Z,0,2025-11-11T23:13:46.33722268Z,true,2025-11-11T23:17:35.623533092Z,choice,2025-11-11T23:13:46.33722268Z,01K9TK4Q92RHQ9XCRXQX7ZK3NJ,2025-11-11T23:13:46.33722268Z,true,2025-11-11T23:17:35.607398809Z,true,2025-11-11T23:17:35.63852758Z,01K9TK4QAWN041F8J1H48N092W,2025-11-11T23:13:46.33722268Z
01K9TK4QEC16JX45PVWJ55SPD9,01K9THEXEQ7CHCVV4RW5S1TPVJ,2025-11-11T23:13:46.44557151Z,10000,2025-11-11T23:13:46.44557151Z,true,2025-11-11T23:20:19.085536399Z,01K9THEXF5K25GF7E1BF0H3VE3,2025-11-11T23:13:46.44557151Z,1,2025-11-11T23:13:46.44557151Z,true,2025-11-11T23:20:12.392356091Z,result,2025-11-11T23:13:46.44557151Z,01K9TK4Q9A3QVYJRYMH72BQ6JG,2025-11-11T23:13:46.44557151Z,true,2025-11-11T23:20:12.37744788Z,true,2025-11-11T23:20:12.41165503Z,01K9TK4QE55T43ZPMG7EADBE8M,2025-11-11T23:13:46.44557151Z
01K9TGMA5QTSF6G7EGE7C1WS25,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:29:51.415165642Z,10000,2025-11-11T22:29:51.415165642Z,true,2025-11-11T22:33:10.7832159Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:29:51.415165642Z,0,2025-11-11T22:29:51.415165642Z,true,2025-11-11T22:29:52.272561595Z,choice,2025-11-11T22:29:51.415165642Z,01K9TGMA4KBJ6YJHJ5A7VXMH0J,2025-11-11T22:29:51.415165642Z,true,2025-11-11T22:29:52.254555196Z,true,2025-11-11T22:29:52.284768089Z,01K9TGMA5HK9Z3TJTPPMPCHVVB,2025-11-11T22:29:51.415165642Z
01K9TGMA9EQEPNWW8AB2FJYV0J,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:29:51.534619408Z,10000,2025-11-11T22:29:51.534619408Z,true,2025-11-11T22:35:39.673812123Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:29:51.534619408Z,0,2025-11-11T22:29:51.534619408Z,true,2025-11-11T22:35:04.039332832Z,choice,2025-11-11T22:29:51.534619408Z,01K9TGMA4YRTX1CB3XWKQHV0F6,2025-11-11T22:29:51.534619408Z,true,2025-11-11T22:35:04.028851974Z,true,2025-11-11T22:35:04.063729399Z,01K9TGMA96ZKJ02M7QX5D0BFKM,2025-11-11T22:29:51.534619408Z
01K9TGMA9YYKDRZ80Q61N43JVN,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:29:51.550523375Z,10000,2025-11-11T22:29:51.550523375Z,true,2025-11-11T22:35:47.325373305Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:29:51.550523375Z,1,2025-11-11T22:29:51.550523375Z,true,2025-11-11T22:35:45.53412757Z,result,2025-11-11T22:29:51.550523375Z,01K9TGMA4YRTX1CB3XW5PQC1GB,2025-11-11T22:29:51.550523375Z,true,2025-11-11T22:35:45.520360969Z,true,2025-11-11T22:35:45.552692248Z,01K9TGMA9VFQATCM9JFFG5PNEF,2025-11-11T22:29:51.550523375Z
01K9TGMAAPX1CD8PPG71Z3KXRN,01K9TG836P0GZ79TTG0H44E12V,2025-11-11T22:29:51.574157786Z,10000,2025-11-11T22:29:51.574157786Z,true,2025-11-11T22:35:52.951643699Z,01K9TG8370531XP7CM1VPEH59N,2025-11-11T22:29:51.574157786Z,0,2025-11-11T22:29:51.574157786Z,true,2025-11-11T22:35:51.350889746Z,choice,2025-11-11T22:29:51.574157786Z,01K9TGMA4W5P644FDTK1K5MWZN,2025-11-11T22:29:51.574157786Z,true,2025-11-11T22:35:51.33703657Z,true,2025-11-11T22:35:51.361861052Z,01K9TGMAAJEEB2DC1JZE5AN23B,2025-11-11T22:29:51.574157786Z
01K9TFE5FPJB45NZDNSE0YFEVY,01K9TE9T6GRQ5KWPW9N4YQG3VB,2025-11-11T22:09:01.43084224Z,10000,2025-11-11T22:09:01.43084224Z,true,2025-11-11T22:10:36.409206097Z,01K9TE9T75JFGS09NGQYAMHPA6,2025-11-11T22:09:01.43084224Z,1,2025-11-11T22:09:01.43084224Z,true,2025-11-11T22:10:34.900991185Z,result,2025-11-11T22:09:01.43084224Z,01K9TFE5AVHDMA5704XATM570S,2025-11-11T22:09:01.43084224Z,true,2025-11-11T22:10:34.886293526Z,true,2025-11-11T22:10:34.908706917Z,01K9TFE5FKN28T2FK8VVX34MYT,2025-11-11T22:09:01.43084224Z
01K9TGE9DK6C7XETNMWN9HGJ7Y,01K9TG6EXGBQ4G6XZ3R8J93D2N,2025-11-11T22:26:34.035237389Z,10000,2025-11-11T22:26:34.035237389Z,true,2025-11-11T22:31:34.219796726Z,01K9TG6EXX8QH6HVK7KKMCEBA2,2025-11-11T22:26:34.035237389Z,1,2025-11-11T22:26:34.035237389Z,true,2025-11-11T22:31:30.993326773Z,result,2025-11-11T22:26:34.035237389Z,01K9TGE95KNP2XPZSGVBCDS945,2025-11-11T22:26:34.035237389Z,true,2025-11-11T22:31:30.974072348Z,true,2025-11-11T22:31:31.008966303Z,01K9TGE9DGTNCMKR6MKQANCPF0,2025-11-11T22:26:34.035237389Z
