id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01K9BDBNB5FQRX5MG9T400W434,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.733734-08:00,C,2025-11-05T17:44:21.936855-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.733734-08:00,01K9BDBD9EQTQQMDYZA4Q0JVRS,2025-11-05T17:44:05.733734-08:00,01K9BDBN8B9JJZN4K31HVHZVX7,2025-11-05T17:44:05.733734-08:00,18,2025-11-05T17:44:21.954387-08:00
01K9BDCB152Z1NN43SKXETGKGD,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:27.941625-08:00,D,2025-11-05T17:44:29.345244-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:27.941625-08:00,01K9BDBKRKY3W5QJEN3TZGQ8GX,2025-11-05T17:44:27.941625-08:00,01K9BDBN8CTBBBBF4SR26TBMP1,2025-11-05T17:44:27.941625-08:00,21,2025-11-05T17:44:32.339334-08:00
01K9BE56MKBJJ8WDVF67MZQBD2,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:58:02.643827-08:00,C,2025-11-05T17:58:06.037768-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:58:02.643827-08:00,01K9BDGH2KGWS2BMRDSAJZ64DR,2025-11-05T17:58:02.643827-08:00,01K9BDGHREE0KJSB9XG6WN9DSW,2025-11-05T17:58:02.643827-08:00,8,2025-11-05T17:58:06.046738-08:00
01K9BE56MKBJJ8WDVF6G53KGYX,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:58:02.643993-08:00,D,2025-11-05T17:58:03.581203-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:58:02.643993-08:00,01K9BDGC7HYYQC36MAGZQ0A09E,2025-11-05T17:58:02.643993-08:00,01K9BDGHREE0KJSB9XG6WN9DSW,2025-11-05T17:58:02.643993-08:00,1,2025-11-05T17:58:06.046738-08:00
01K9BDBNB5FQRX5MG9TDX45GYE,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.733807-08:00,B,2025-11-05T17:44:16.995922-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.733807-08:00,01K9BDBKRKY3W5QJEN3TZGQ8GX,2025-11-05T17:44:05.733807-08:00,01K9BDBN8B9JJZN4K31HVHZVX7,2025-11-05T17:44:05.733807-08:00,20,2025-11-05T17:44:21.954387-08:00
01K9BDGHTZX5H771PKAXBF8ZK9,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.983239-08:00,C,2025-11-05T17:46:50.749345-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.983239-08:00,01K9BDGC7HYYQC36MAGZQ0A09E,2025-11-05T17:46:45.983239-08:00,01K9BDGHRB0WAZ2274VFSF1S1Y,2025-11-05T17:46:45.983239-08:00,8,2025-11-05T17:46:50.762955-08:00
01K9BDGTNF7CFJTGA2J48KW18E,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:55.0233-08:00,C,2025-11-05T17:47:39.209416-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:55.0233-08:00,01K9BDGH2KGWS2BMRDSAJZ64DR,2025-11-05T17:46:55.0233-08:00,01K9BDGHRCWP72R0AYQ3QYTMDV,2025-11-05T17:46:55.0233-08:00,28,2025-11-05T17:47:43.053083-08:00
01K9BDJEE1GH37BEHC3EDZ71MN,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:47:48.033349-08:00,C,2025-11-05T17:57:56.250829-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:47:48.033349-08:00,01K9BDGC7HYYQC36MAGZQ0A09E,2025-11-05T17:47:48.033349-08:00,01K9BDGHRDS74AX4H113RYRXF9,2025-11-05T17:47:48.033349-08:00,8,2025-11-05T17:57:58.329688-08:00
01K9BE5FAZ0NGG5F6VHYPEVNZE,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:58:11.551504-08:00,D,2025-11-05T17:58:15.249546-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:58:11.551504-08:00,01K9BDGH2KGWS2BMRDSAJZ64DR,2025-11-05T17:58:11.551504-08:00,01K9BDGHRFMDRPDFAGB2TFSFBP,2025-11-05T17:58:11.551504-08:00,1,2025-11-05T17:58:15.262294-08:00
01K9BDCB152Z1NN43SKQ1BG9MC,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:27.941506-08:00,D,2025-11-05T17:44:32.327539-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:27.941506-08:00,01K9BDBD9EQTQQMDYZA4Q0JVRS,2025-11-05T17:44:27.941506-08:00,01K9BDBN8CTBBBBF4SR26TBMP1,2025-11-05T17:44:27.941506-08:00,21,2025-11-05T17:44:32.339334-08:00
01K9BDCKKEY5NM8031R6JAJP4P,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:36.718427-08:00,C,2025-11-05T17:44:41.431081-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:36.718427-08:00,01K9BDBD9EQTQQMDYZA4Q0JVRS,2025-11-05T17:44:36.718427-08:00,01K9BDBN8DQK6BD2CVT0CWCPXA,2025-11-05T17:44:36.718427-08:00,12,2025-11-05T17:44:41.445793-08:00
01K9BDCKKEY5NM8031RFCECBNY,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:36.718585-08:00,D,2025-11-05T17:44:39.074085-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:36.718585-08:00,01K9BDBKRKY3W5QJEN3TZGQ8GX,2025-11-05T17:44:36.718585-08:00,01K9BDBN8DQK6BD2CVT0CWCPXA,2025-11-05T17:44:36.718585-08:00,5,2025-11-05T17:44:41.445793-08:00
