id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01K9BDC56EVPWAWT249J407HSX,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:21.966638-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:21.966638-08:00,01K9BDBKRKY3W5QJEN3TZGQ8GX,2025-11-05T17:44:21.966638-08:00,01K9BDBN8B9JJZN4K31HVHZVX7,2025-11-05T17:44:21.966638-08:00,01K9BDBN8TNWYR8VZPNWF5T9FH,2025-11-05T17:44:21.966638-08:00,true,2025-11-05T17:44:27.909833-08:00
01K9BDC56EVPWAWT249ZJRT22W,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:21.966803-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:21.966803-08:00,01K9BDBD9EQTQQMDYZA4Q0JVRS,2025-11-05T17:44:21.966803-08:00,01K9BDBN8B9JJZN4K31HVHZVX7,2025-11-05T17:44:21.966803-08:00,01K9BDBN8TNWYR8VZPNWF5T9FH,2025-11-05T17:44:21.966803-08:00,true,2025-11-05T17:44:25.22615-08:00
01K9BDCB1E18ZB5N662VYXBYY0,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:27.950743-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:27.950743-08:00,01K9BDBD9EQTQQMDYZA4Q0JVRS,2025-11-05T17:44:27.950743-08:00,01K9BDBN8CTBBBBF4SR26TBMP1,2025-11-05T17:44:27.950743-08:00,01K9BDBN90M5TBWVQ23P66A1CF,2025-11-05T17:44:27.950743-08:00,true,2025-11-05T17:44:32.327209-08:00
01K9BE5JZD0N91ZNFYK18AKYC3,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:58:15.277538-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:58:15.277538-08:00,01K9BDGH2KGWS2BMRDSAJZ64DR,2025-11-05T17:58:15.277538-08:00,01K9BDGHRFMDRPDFAGB2TFSFBP,2025-11-05T17:58:15.277538-08:00,01K9BDGHSB2YMSQXZFKRK183Z9,2025-11-05T17:58:15.277538-08:00,true,2025-11-05T17:58:16.256507-08:00
01K9BE56MWMCWZMTZFBRFQW4FN,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:58:02.652684-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:58:02.652684-08:00,01K9BDGC7HYYQC36MAGZQ0A09E,2025-11-05T17:58:02.652684-08:00,01K9BDGHREE0KJSB9XG6WN9DSW,2025-11-05T17:58:02.652684-08:00,01K9BDGHS6GKVMKHKPBBXCR2PQ,2025-11-05T17:58:02.652684-08:00,true,2025-11-05T17:58:03.580484-08:00
01K9BDBNBBFBYAZCQMB6Z4EWX1,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.739709-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.739709-08:00,01K9BDBD9EQTQQMDYZA4Q0JVRS,2025-11-05T17:44:05.739709-08:00,01K9BDBN8B9JJZN4K31HVHZVX7,2025-11-05T17:44:05.739709-08:00,01K9BDBN8TNWYR8VZPN539Z5F4,2025-11-05T17:44:05.739709-08:00,true,2025-11-05T17:44:21.936082-08:00
01K9BDCFAXQ79QCE4W665EBSSD,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:32.349775-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:32.349775-08:00,01K9BDBKRKY3W5QJEN3TZGQ8GX,2025-11-05T17:44:32.349775-08:00,01K9BDBN8CTBBBBF4SR26TBMP1,2025-11-05T17:44:32.349775-08:00,01K9BDBN90M5TBWVQ24AJ749RP,2025-11-05T17:44:32.349775-08:00,true,2025-11-05T17:44:36.689213-08:00
01K9BDJ9JXBGW4PEF9M2KXQXQP,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:47:43.069151-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:47:43.069151-08:00,01K9BDGH2KGWS2BMRDSAJZ64DR,2025-11-05T17:47:43.069151-08:00,01K9BDGHRCWP72R0AYQ3QYTMDV,2025-11-05T17:47:43.069151-08:00,01K9BDGHRWNCTGFHWVFYJQ1RCR,2025-11-05T17:47:43.069151-08:00,true,2025-11-05T17:47:48.006616-08:00
01K9BDJEEBVV2BJRZ2CEEGRTMJ,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:47:48.043781-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:47:48.043781-08:00,01K9BDGC7HYYQC36MAGZQ0A09E,2025-11-05T17:47:48.043781-08:00,01K9BDGHRDS74AX4H113RYRXF9,2025-11-05T17:47:48.043781-08:00,01K9BDGHS2PT1MQG72MWN78FBR,2025-11-05T17:47:48.043781-08:00,true,2025-11-05T17:57:56.251567-08:00
01K9BDGPH1KS490XQHVQJ3FH12,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:50.785993-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:50.785993-08:00,01K9BDGC7HYYQC36MAGZQ0A09E,2025-11-05T17:46:50.785993-08:00,01K9BDGHRB0WAZ2274VFSF1S1Y,2025-11-05T17:46:50.785993-08:00,01K9BDGHRP0Q6ERD68VHPKTMK0,2025-11-05T17:46:50.785993-08:00,true,2025-11-05T17:46:52.099569-08:00
01K9BE52E6SDHBG3CSST2E3GEC,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:57:58.342133-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:57:58.342133-08:00,01K9BDGH2KGWS2BMRDSAJZ64DR,2025-11-05T17:57:58.342133-08:00,01K9BDGHRDS74AX4H113RYRXF9,2025-11-05T17:57:58.342133-08:00,01K9BDGHS2PT1MQG72NFJT29P7,2025-11-05T17:57:58.342133-08:00,true,2025-11-05T17:58:00.122251-08:00
01K9BE59ZEMZ0H01JTGT3DFT4D,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:58:06.062668-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:58:06.062668-08:00,01K9BDGH2KGWS2BMRDSAJZ64DR,2025-11-05T17:58:06.062668-08:00,01K9BDGHREE0KJSB9XG6WN9DSW,2025-11-05T17:58:06.062668-08:00,01K9BDGHS7H3C6G5Q2FFES23C2,2025-11-05T17:58:06.062668-08:00,true,2025-11-05T17:58:07.062227-08:00
01K9BE5JZD0N91ZNFYKDRHJPQ5,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:58:15.277673-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:58:15.277673-08:00,01K9BDGC7HYYQC36MAGZQ0A09E,2025-11-05T17:58:15.277673-08:00,01K9BDGHRFMDRPDFAGB2TFSFBP,2025-11-05T17:58:15.277673-08:00,01K9BDGHSB2YMSQXZFKRK183Z9,2025-11-05T17:58:15.277673-08:00,true,2025-11-05T17:58:18.875669-08:00
01K9BDCKKR71Z2A2M6CYRB0HZZ,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:36.728033-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:36.728033-08:00,01K9BDBD9EQTQQMDYZA4Q0JVRS,2025-11-05T17:44:36.728033-08:00,01K9BDBN8DQK6BD2CVT0CWCPXA,2025-11-05T17:44:36.728033-08:00,01K9BDBN96JXBEKFST4CN5J2VZ,2025-11-05T17:44:36.728033-08:00,true,2025-11-05T17:44:41.431566-08:00
01K9BDCR7J6R93BT1594J99JXW,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:41.458554-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:41.458554-08:00,01K9BDBD9EQTQQMDYZA4Q0JVRS,2025-11-05T17:44:41.458554-08:00,01K9BDBN8DQK6BD2CVT0CWCPXA,2025-11-05T17:44:41.458554-08:00,01K9BDBN96JXBEKFST4Z00NH9E,2025-11-05T17:44:41.458554-08:00,true,2025-11-05T17:45:24.584018-08:00
01K9BDCR7J6R93BT159KA79J2B,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:41.458705-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:41.458705-08:00,01K9BDBKRKY3W5QJEN3TZGQ8GX,2025-11-05T17:44:41.458705-08:00,01K9BDBN8DQK6BD2CVT0CWCPXA,2025-11-05T17:44:41.458705-08:00,01K9BDBN96JXBEKFST4Z00NH9E,2025-11-05T17:44:41.458705-08:00,true,2025-11-05T17:45:04.871845-08:00
01K9BDGPH1KS490XQHVCE2VQFA,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:50.785835-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:50.785835-08:00,01K9BDGH2KGWS2BMRDSAJZ64DR,2025-11-05T17:46:50.785835-08:00,01K9BDGHRB0WAZ2274VFSF1S1Y,2025-11-05T17:46:50.785835-08:00,01K9BDGHRP0Q6ERD68VHPKTMK0,2025-11-05T17:46:50.785835-08:00,true,2025-11-05T17:46:54.996282-08:00
01K9BDCFAXQ79QCE4W5YKYNSZZ,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:32.3495-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:32.3495-08:00,01K9BDBD9EQTQQMDYZA4Q0JVRS,2025-11-05T17:44:32.3495-08:00,01K9BDBN8CTBBBBF4SR26TBMP1,2025-11-05T17:44:32.3495-08:00,01K9BDBN90M5TBWVQ24AJ749RP,2025-11-05T17:44:32.3495-08:00,true,2025-11-05T17:44:34.226873-08:00
01K9BDGHV39RJXNEKXGMRWYBDV,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.987782-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.987782-08:00,01K9BDGC7HYYQC36MAGZQ0A09E,2025-11-05T17:46:45.987782-08:00,01K9BDGHRB0WAZ2274VFSF1S1Y,2025-11-05T17:46:45.987782-08:00,01K9BDGHRP0Q6ERD68TY923TTX,2025-11-05T17:46:45.987782-08:00,true,2025-11-05T17:46:50.749891-08:00
01K9BE52E5YVTFMY77X64JHNK4,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:57:58.34194-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:57:58.34194-08:00,01K9BDGC7HYYQC36MAGZQ0A09E,2025-11-05T17:57:58.34194-08:00,01K9BDGHRDS74AX4H113RYRXF9,2025-11-05T17:57:58.34194-08:00,01K9BDGHS2PT1MQG72NFJT29P7,2025-11-05T17:57:58.34194-08:00,true,2025-11-05T17:58:02.611625-08:00
01K9BE59ZF48XTK8THFM77WC0A,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:58:06.063094-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:58:06.063094-08:00,01K9BDGC7HYYQC36MAGZQ0A09E,2025-11-05T17:58:06.063094-08:00,01K9BDGHREE0KJSB9XG6WN9DSW,2025-11-05T17:58:06.063094-08:00,01K9BDGHS7H3C6G5Q2FFES23C2,2025-11-05T17:58:06.063094-08:00,true,2025-11-05T17:58:11.518111-08:00
01K9BDBNBBFBYAZCQMBJVJY9KM,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.739779-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.739779-08:00,01K9BDBKRKY3W5QJEN3TZGQ8GX,2025-11-05T17:44:05.739779-08:00,01K9BDBN8B9JJZN4K31HVHZVX7,2025-11-05T17:44:05.739779-08:00,01K9BDBN8TNWYR8VZPN539Z5F4,2025-11-05T17:44:05.739779-08:00,true,2025-11-05T17:44:16.995342-08:00
01K9BDCB1E18ZB5N662EEPYM7P,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:27.950614-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:27.950614-08:00,01K9BDBKRKY3W5QJEN3TZGQ8GX,2025-11-05T17:44:27.950614-08:00,01K9BDBN8CTBBBBF4SR26TBMP1,2025-11-05T17:44:27.950614-08:00,01K9BDBN90M5TBWVQ23P66A1CF,2025-11-05T17:44:27.950614-08:00,true,2025-11-05T17:44:29.345785-08:00
01K9BDCKKR71Z2A2M6D8M7FP5K,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:36.728149-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:36.728149-08:00,01K9BDBKRKY3W5QJEN3TZGQ8GX,2025-11-05T17:44:36.728149-08:00,01K9BDBN8DQK6BD2CVT0CWCPXA,2025-11-05T17:44:36.728149-08:00,01K9BDBN96JXBEKFST4CN5J2VZ,2025-11-05T17:44:36.728149-08:00,true,2025-11-05T17:44:39.073529-08:00
01K9BE56MWMCWZMTZFC9SF1MWB,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:58:02.652854-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:58:02.652854-08:00,01K9BDGH2KGWS2BMRDSAJZ64DR,2025-11-05T17:58:02.652854-08:00,01K9BDGHREE0KJSB9XG6WN9DSW,2025-11-05T17:58:02.652854-08:00,01K9BDGHS6GKVMKHKPBBXCR2PQ,2025-11-05T17:58:02.652854-08:00,true,2025-11-05T17:58:06.038257-08:00
