id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01K9BDBN8CTBBBBF4SR26TBMP1,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.644088-08:00,true,2025-11-05T17:44:36.705459-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.644088-08:00,1,2025-11-05T17:44:05.644088-08:00,Round 1,2025-11-05T17:44:05.644088-08:00,2,2025-11-05T17:44:05.666458-08:00,true,2025-11-05T17:44:27.937825-08:00
01K9BDBN8DQK6BD2CVTHNNQF4F,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.645851-08:00,false,2025-11-05T17:44:05.645851-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.645851-08:00,3,2025-11-05T17:44:05.645851-08:00,Round 3,2025-11-05T17:44:05.645851-08:00,2,2025-11-05T17:44:05.676153-08:00,false,2025-11-05T17:44:05.645851-08:00
01K9BDGHRDS74AX4H113RYRXF9,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.901189-08:00,true,2025-11-05T17:58:02.631849-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.901189-08:00,2,2025-11-05T17:46:45.901189-08:00,Round 2,2025-11-05T17:46:45.901189-08:00,2,2025-11-05T17:46:45.923907-08:00,true,2025-11-05T17:47:48.02913-08:00
01K9BDGHREE0KJSB9XG6WN9DSW,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.902882-08:00,true,2025-11-05T17:58:11.538038-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.902882-08:00,3,2025-11-05T17:46:45.902882-08:00,Round 3,2025-11-05T17:46:45.902882-08:00,2,2025-11-05T17:46:45.92827-08:00,true,2025-11-05T17:58:02.639513-08:00
01K9BDBN8B9JJZN4K31HVHZVX7,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.643541-08:00,true,2025-11-05T17:44:27.932044-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.643541-08:00,0,2025-11-05T17:44:05.643541-08:00,Round 0,2025-11-05T17:44:05.643541-08:00,2,2025-11-05T17:44:05.660531-08:00,true,2025-11-05T17:44:05.697861-08:00
01K9BDBN8HT4T38H8NSPKYSSQ7,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.649701-08:00,false,2025-11-05T17:44:05.649701-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.649701-08:00,4,2025-11-05T17:44:05.649701-08:00,Round 4,2025-11-05T17:44:05.649701-08:00,2,2025-11-05T17:44:05.680753-08:00,false,2025-11-05T17:44:05.649701-08:00
01K9BDGHRB0WAZ2274VFSF1S1Y,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.899748-08:00,true,2025-11-05T17:46:55.011906-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.899748-08:00,0,2025-11-05T17:46:45.899748-08:00,Round 0,2025-11-05T17:46:45.899748-08:00,2,2025-11-05T17:46:45.912442-08:00,true,2025-11-05T17:46:45.951885-08:00
01K9BDGHRCWP72R0AYQ3QYTMDV,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.900222-08:00,true,2025-11-05T17:47:48.023025-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.900222-08:00,1,2025-11-05T17:46:45.900222-08:00,Round 1,2025-11-05T17:46:45.900222-08:00,2,2025-11-05T17:46:45.918803-08:00,true,2025-11-05T17:46:55.018567-08:00
01K9BDGHRFMDRPDFAGB2TFSFBP,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.903743-08:00,true,2025-11-05T17:58:18.892026-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.903743-08:00,4,2025-11-05T17:46:45.903743-08:00,Round 4,2025-11-05T17:46:45.903743-08:00,2,2025-11-05T17:46:45.932572-08:00,true,2025-11-05T17:58:11.547162-08:00
01K9BDBN8DQK6BD2CVT0CWCPXA,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.64511-08:00,false,2025-11-05T17:44:05.64511-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.64511-08:00,2,2025-11-05T17:44:05.64511-08:00,Round 2,2025-11-05T17:44:05.64511-08:00,2,2025-11-05T17:44:05.671733-08:00,true,2025-11-05T17:44:36.713941-08:00
