id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01K9BDBN96JXBEKFST4Z00NH9E,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.670116-08:00,10000,2025-11-05T17:44:05.670116-08:00,false,2025-11-05T17:44:05.670116-08:00,batch ended,2025-11-05T17:45:45.672573-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.670116-08:00,1,2025-11-05T17:44:05.670116-08:00,true,2025-11-05T17:44:41.461168-08:00,result,2025-11-05T17:44:05.670116-08:00,01K9BDBN8DQK6BD2CVT0CWCPXA,2025-11-05T17:44:05.670116-08:00,true,2025-11-05T17:44:41.453372-08:00,true,2025-11-05T17:44:41.466396-08:00,ended,2025-11-05T17:45:45.672573-08:00,01K9BDBN94XRHA1MWRABSHPQKQ,2025-11-05T17:44:05.670116-08:00
01K9BDGHRP0Q6ERD68TY923TTX,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.91026-08:00,10000,2025-11-05T17:46:45.91026-08:00,true,2025-11-05T17:46:50.758357-08:00,,,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.91026-08:00,0,2025-11-05T17:46:45.91026-08:00,true,2025-11-05T17:46:45.988559-08:00,choice,2025-11-05T17:46:45.91026-08:00,01K9BDGHRB0WAZ2274VFSF1S1Y,2025-11-05T17:46:45.91026-08:00,true,2025-11-05T17:46:45.985769-08:00,true,2025-11-05T17:46:45.989931-08:00,,,01K9BDGHRK09NTNRYK9WKZ5031,2025-11-05T17:46:45.91026-08:00
01K9BDGHRWNCTGFHWVFYJQ1RCR,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.916952-08:00,10000,2025-11-05T17:46:45.916952-08:00,true,2025-11-05T17:47:48.015316-08:00,,,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.916952-08:00,1,2025-11-05T17:46:45.916952-08:00,true,2025-11-05T17:47:43.072095-08:00,result,2025-11-05T17:46:45.916952-08:00,01K9BDGHRCWP72R0AYQ3QYTMDV,2025-11-05T17:46:45.916952-08:00,true,2025-11-05T17:47:43.060655-08:00,true,2025-11-05T17:47:43.078058-08:00,,,01K9BDGHRVGBX3G6NFCGFNJED5,2025-11-05T17:46:45.916952-08:00
01K9BDGHS2PT1MQG72MWN78FBR,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.922537-08:00,10000,2025-11-05T17:46:45.922537-08:00,true,2025-11-05T17:57:58.326142-08:00,,,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.922537-08:00,0,2025-11-05T17:46:45.922537-08:00,true,2025-11-05T17:47:48.046007-08:00,choice,2025-11-05T17:46:45.922537-08:00,01K9BDGHRDS74AX4H113RYRXF9,2025-11-05T17:46:45.922537-08:00,true,2025-11-05T17:47:48.039853-08:00,true,2025-11-05T17:47:48.049731-08:00,,,01K9BDGHS0KNSE9SZTY0AQVNMQ,2025-11-05T17:46:45.922537-08:00
01K9BDGHS2PT1MQG72NFJT29P7,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.922662-08:00,10000,2025-11-05T17:46:45.922662-08:00,true,2025-11-05T17:58:02.621503-08:00,,,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.922662-08:00,1,2025-11-05T17:46:45.922662-08:00,true,2025-11-05T17:57:58.344564-08:00,result,2025-11-05T17:46:45.922662-08:00,01K9BDGHRDS74AX4H113RYRXF9,2025-11-05T17:46:45.922662-08:00,true,2025-11-05T17:57:58.335512-08:00,true,2025-11-05T17:57:58.348212-08:00,,,01K9BDGHS1WCEJXDGGAFFZAJFY,2025-11-05T17:46:45.922662-08:00
01K9BDGHS7H3C6G5Q2FFES23C2,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.927073-08:00,10000,2025-11-05T17:46:45.927073-08:00,true,2025-11-05T17:58:11.528396-08:00,,,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.927073-08:00,1,2025-11-05T17:46:45.927073-08:00,true,2025-11-05T17:58:06.065645-08:00,result,2025-11-05T17:46:45.927073-08:00,01K9BDGHREE0KJSB9XG6WN9DSW,2025-11-05T17:46:45.927073-08:00,true,2025-11-05T17:58:06.054756-08:00,true,2025-11-05T17:58:06.06999-08:00,,,01K9BDGHS5ZW74D2VZSASRQ4DM,2025-11-05T17:46:45.927073-08:00
01K9BDBN90M5TBWVQ24AJ749RP,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.66492-08:00,10000,2025-11-05T17:44:05.66492-08:00,true,2025-11-05T17:44:36.698528-08:00,,,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.66492-08:00,1,2025-11-05T17:44:05.66492-08:00,true,2025-11-05T17:44:32.352825-08:00,result,2025-11-05T17:44:05.66492-08:00,01K9BDBN8CTBBBBF4SR26TBMP1,2025-11-05T17:44:05.66492-08:00,true,2025-11-05T17:44:32.342565-08:00,true,2025-11-05T17:44:32.357503-08:00,,,01K9BDBN8ZBQ1JD3XJJ9GDMAH7,2025-11-05T17:44:05.66492-08:00
01K9BDBN96JXBEKFST4CN5J2VZ,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.670012-08:00,10000,2025-11-05T17:44:05.670012-08:00,true,2025-11-05T17:44:41.441953-08:00,,,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.670012-08:00,0,2025-11-05T17:44:05.670012-08:00,true,2025-11-05T17:44:36.730268-08:00,choice,2025-11-05T17:44:05.670012-08:00,01K9BDBN8DQK6BD2CVT0CWCPXA,2025-11-05T17:44:05.670012-08:00,true,2025-11-05T17:44:36.724324-08:00,true,2025-11-05T17:44:36.73413-08:00,,,01K9BDBN93JS07FHEQ0HAE1BKS,2025-11-05T17:44:05.670012-08:00
01K9BDGHSB2YMSQXZFKRK183Z9,01K9BDERYREB8GBPEC75QXGXS3,2025-11-05T17:46:45.931393-08:00,10000,2025-11-05T17:46:45.931393-08:00,true,2025-11-05T17:58:18.884353-08:00,,,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.931393-08:00,1,2025-11-05T17:46:45.931393-08:00,true,2025-11-05T17:58:15.278855-08:00,result,2025-11-05T17:46:45.931393-08:00,01K9BDGHRFMDRPDFAGB2TFSFBP,2025-11-05T17:46:45.931393-08:00,true,2025-11-05T17:58:15.26761-08:00,true,2025-11-05T17:58:15.281255-08:00,,,01K9BDGHSAG19KFVEB2Q8ZRCV8,2025-11-05T17:46:45.931393-08:00
01K9BDBN9AR53ZC0RKDX5N8RPX,01K9BDAQCSZ8QJA495PKP7RFRD,2025-11-05T17:44:05.674833-08:00,10000,2025-11-05T17:44:05.674833-08:00,false,2025-11-05T17:44:05.674833-08:00,,,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:05.674833-08:00,1,2025-11-05T17:44:05.674833-08:00,,,result,2025-11-05T17:44:05.674833-08:00,01K9BDBN8DQK6BD2CVTHNNQF4F,2025-11-05T17:44:05.674833-08:00,false,2025-11-05T17:44:05.674833-08:00,,,,,01K9BDBN99HX2JXABG5SME8SRJ,2025-11-05T17:44:05.674833-08:00
